Fp12_delta_psd,Fp12_theta_psd,Fp12_alpha_psd,Fp12_beta_psd,Fp12_gamma_psd,F34_delta_psd,F34_theta_psd,F34_alpha_psd,F34_beta_psd,F34_gamma_psd,C34_delta_psd,C34_theta_psd,C34_alpha_psd,C34_beta_psd,C34_gamma_psd,P34_delta_psd,P34_theta_psd,P34_alpha_psd,P34_beta_psd,P34_gamma_psd,O12_delta_psd,O12_theta_psd,O12_alpha_psd,O12_beta_psd,O12_gamma_psd,F78_delta_psd,F78_theta_psd,F78_alpha_psd,F78_beta_psd,F78_gamma_psd,T34_delta_psd,T34_theta_psd,T34_alpha_psd,T34_beta_psd,T34_gamma_psd,T56_delta_psd,T56_theta_psd,T56_alpha_psd,T56_beta_psd,T56_gamma_psd,Class
0.14423036707157055,0.08365688049960449,0.03591445554523552,0.031046364434242774,0.002064313333164647,0.015694987815863093,0.0015805365927059056,0.0019719009122372705,0.017159906616334597,0.0014736962938438057,0.010293915324265934,0.012848160416776583,0.018022295691893758,0.025672565561214528,0.0017301176320261204,0.04759101917240616,0.022036648964329747,0.007774003558449094,0.04127284440216926,0.002281224688847994,0.005276407515647397,0.05772540244585106,0.026677648053373453,0.02905424028586523,0.0018167867426945139,0.10971131440625748,0.015205850240590846,0.004447545622693963,0.08932899107303983,0.009106445936967519,0.021578450360265622,0.006317593500752922,0.022869038715230827,0.051808289401566815,0.005086841850626019,0.10306175086338049,0.004204091841837648,0.09483578070307078,0.0018951143990703356,0.00040371640924240487,0
0.011985209930787,0.001622527580153868,0.0019209340558280809,0.005308009194162373,0.0010703008603597554,0.006914111884564034,0.035725496496649106,0.00533314352309168,0.00911956599839088,0.0012190023791091957,0.19769259233560726,0.1223617546369103,0.05632758542648342,0.08665219258148696,0.01129629550329191,0.02820462625278397,0.009164578454027683,0.007296723021894075,0.009832618843130594,0.003166144243136538,0.06360055230251493,0.04303618185829311,0.004003226739418386,0.004733017077225982,0.0040059149185389005,0.0110002940611581,0.020768897982445855,0.0056469446904540005,0.02021443518170779,0.008423567246293224,0.12944198832523846,0.03898915937104651,0.026184272842085764,0.04855892612485262,0.008410758400575317,0.04817345427234987,2.8150210655275565e-05,0.014774226727015019,0.0036410890815818525,0.0009695516566502055,0
0.15366922931551974,0.07160095304843322,0.0504026924563555,0.031413872493803,0.001506471473983122,0.10513840506110439,0.03347341944939389,0.0393198502988608,0.03556628793941327,0.0018058348121641468,0.13318278463906674,0.04009001035934012,0.060658478016967735,0.03636763708696019,0.0024081817675284684,0.08418215830406717,0.03337987785422762,0.03645196183303365,0.02192048842360078,0.001081967382185607,0.099043580841781,0.05326041436382532,0.028219981718993793,0.017816303995128832,0.0014897933654974362,0.07066436837991097,0.045597711074899114,0.007623321002794267,0.03532407634823078,0.0044294221650455715,0.11405087881729992,0.04177086299067008,0.012124865335599977,0.05841429988167456,0.005949083244257006,0.09086751046604868,0.01993363140224237,0.0463627211808472,0.03902094075824561,0.0019444801119390949,0
0.0017939421209455242,0.025597526770531925,0.001478540907497515,0.01034011450775283,0.001804210426569512,0.04806996431544053,0.05198035940059993,0.02116491042363261,0.0014312183703651116,0.001561947822055057,0.1270866398886923,0.06219361235221789,0.08538050866109335,0.0066909910024180175,0.0007741864908504094,0.15091665764185308,0.06205065533408011,0.13000258494952907,0.008211090653498093,0.0037923235445936005,0.09592743695645412,0.05079161360290883,0.022670365681541696,0.10958482944012322,0.011412038291967335,0.10457731633070622,0.06011763457422428,0.03386701339438013,0.04048311918869102,0.002649754962597851,0.16720929684105168,0.08786107899027591,0.1133713495803363,0.0025689420477314068,0.00025630280351101285,0.11292432265963426,0.06198946159157337,0.08647103546871074,0.009418332832036164,0.0031620374677615555,0
0.019976843900841423,0.0024467656051644082,0.008768060387225399,0.004558335292877046,1.5559719520700675e-05,0.0457209610763365,0.023571468918402366,0.024538435946157157,0.009502764463177202,0.002860791515870803,0.052901422802416276,0.030096829538072592,0.016597007163366595,0.0037550252405835483,0.0015177800139636178,0.10872941290918159,0.02408203135666903,0.053010633952173467,0.020067640397006016,0.0003473684184057027,0.11962796870817372,0.028747077584790642,0.029845480282982353,0.035266372399798795,0.0023445084379953365,0.06108170737483942,0.0372840214619182,0.027762058512703768,0.006125161465280651,0.0009828490676771617,0.0836041514681658,0.039584587708352395,0.05861167088634556,0.0122675779353274,0.0063459096735185225,0.13014895491879253,0.03440001176062786,0.06993872645132383,0.018617496393978264,0.00037638555860777453,0
0.012971433996773918,0.012789882826541449,0.007486824712891221,0.004786855402493989,0.0011345699518481179,0.059550833402078895,0.0024958968467259646,0.05758928898143245,0.0024221113737939864,0.000564034237258447,0.18288559663779558,0.06419489695712034,0.12707694317873494,0.08013018000668529,0.0039816562771896515,0.298639945298382,0.09388087024764012,0.16767671295783304,0.10619871879601589,0.007016127587912389,0.12131218037513736,0.028507379713241215,0.05638835652991686,0.08479320728088877,0.009442736677055438,0.27074121908700516,0.028986532390932906,0.13394430762317844,0.14925201574086908,0.011672939116767481,0.14061243229681542,0.026933682976736692,0.056484546534559484,0.05547740669301741,0.002713275600181333,0.062274562758188434,0.014058937890283035,0.003737025174692876,0.055139349936475096,0.003979206032763905,0
0.0038326791057502474,0.0007094199663094797,0.0013981420200733967,0.0021095980923341744,0.00010021473949666421,0.019569378912835722,0.0076650435217613805,0.005843118630955173,0.006025443928625838,0.00018377530852824002,0.011693022224011473,0.005815525404852848,0.005614499719171842,0.01979159058932488,0.004415216963710692,0.020056635835301484,0.0036921045882570003,0.002475707652081341,0.03475170785746584,0.0073907970631257505,0.11834093972684184,0.007829296755428733,0.04471739291900756,0.08263171569886338,0.013359479135260694,0.05798562396032625,0.0059792422179268945,0.006096754468779841,0.05148306768479851,0.008456668371948087,0.21127983512539772,0.02557545740169781,0.001177435544649351,0.21162282762398235,0.036963284950495875,0.12688680718582335,0.004668043890978496,0.016074729379778538,0.13454474153378992,0.022665793486691156,0
0.0025331087850630762,0.002349067951930822,0.001101590806296189,0.0014604204727546276,0.00014436819327792277,0.014438115329399648,0.010791913425441613,0.0051685120680111385,0.009293844258652647,0.0024683314305151017,0.057453609684095186,0.012200706605671297,0.011389290519740709,0.04721141100070638,0.0078961889242261,0.10685230241584154,0.02350004860592507,0.024628855265132026,0.08283752394904642,0.009568946927165834,0.11960064268394699,0.0030948147228417877,0.035729575425422,0.08148076151629456,0.007776458571081449,0.009911646979944955,0.013573008297325218,0.0035737925977764665,0.01110591697094801,0.0006264062761083132,0.032196982112404404,0.029169826224070855,0.01483293654927302,0.016498031567998457,0.00042624658390318353,0.18234918092035235,0.013957954132087572,0.024844682467758478,0.15929539224574885,0.013310579429150553,0
0.05009915273070975,0.00557565718993297,0.008243191547614187,0.04028773450031785,0.007950618946993004,0.0068987704257131854,0.012663879714631066,0.006990550764527474,0.012725104788522734,0.0004330014181370377,0.038298974730543,0.0011860834677136223,0.0037779974333476962,0.029398310231794594,0.011419225542442776,0.05664950420705023,0.01241213863878661,0.010316694059626791,0.05863509401768979,0.020523625145955758,0.03464028432593497,0.05473645280782484,0.04188211733239297,0.044236754950579604,0.01796711104332139,0.039653006174706795,0.002020599209331106,0.002040654581669396,0.03401683264212424,0.008295333585669702,0.06804906832827506,0.026875745318398786,0.0020308321702731114,0.037774897759464465,0.005209858290583035,0.018017002296629447,0.02170864905670543,0.01848391604031993,0.038389495839562915,0.01924387335830237,0
0.028066184682230988,0.004477850094260938,0.005611450928235583,0.027410486013970267,0.0014856978074172106,0.05832583348480358,0.024007466061407995,0.01183925683824158,0.026482079600893382,0.001723989345746346,0.12076447949551627,0.019693588956573582,0.13453134478665868,0.010421664340866499,0.0012464496927622817,0.03455439476192085,0.010251069469386143,0.01812358439607109,0.010066909089130285,0.0017214315673963728,0.048791506101930615,0.04499944024899488,0.01475664671604146,0.0025090132841793233,0.0004499961578264527,0.12760867091650324,0.002536071648358895,0.10506454998018316,0.02131175796725092,0.0012726427471941503,0.12520298382447703,0.009570880080518929,0.11064899781791082,0.027082814778082248,0.0019748121737831735,0.0688120115097956,0.0015992277530204602,0.05382174387192004,0.01743638441157412,0.0018748777517007481,0
