Fp12_delta_psd,Fp12_theta_psd,Fp12_alpha_psd,Fp12_beta_psd,Fp12_gamma_psd,F34_delta_psd,F34_theta_psd,F34_alpha_psd,F34_beta_psd,F34_gamma_psd,C34_delta_psd,C34_theta_psd,C34_alpha_psd,C34_beta_psd,C34_gamma_psd,P34_delta_psd,P34_theta_psd,P34_alpha_psd,P34_beta_psd,P34_gamma_psd,O12_delta_psd,O12_theta_psd,O12_alpha_psd,O12_beta_psd,O12_gamma_psd,F78_delta_psd,F78_theta_psd,F78_alpha_psd,F78_beta_psd,F78_gamma_psd,T34_delta_psd,T34_theta_psd,T34_alpha_psd,T34_beta_psd,T34_gamma_psd,T56_delta_psd,T56_theta_psd,T56_alpha_psd,T56_beta_psd,T56_gamma_psd,Class
0.16131349209388868,0.07288369201308512,0.0564887611033983,0.03347826823196693,0.002071628317804598,0.016693464429841764,0.004983752448804529,0.011357198794463827,0.013582834572918978,0.000597408103351323,0.021731819190099477,0.012160892752065944,0.036343238497531946,0.006333180900539581,5.801647961294499e-05,0.016214058592583958,0.01977088287529985,0.028369510539168585,0.01999012227644696,0.000961102774738703,0.014258438165911214,0.05748027217783412,0.02701331886962386,0.027753199690575707,0.0013931307134219442,0.04583114271781108,0.021453405810250514,0.0059139160341796365,0.07920061014744943,0.00872239793214273,0.009465198168578604,0.005497420580979379,0.022156875953570673,0.03284441338700991,0.0031183706646180213,0.07207989148321647,0.018324628189613834,0.06936656060567013,0.013451110531681132,0.0018275811650923126,0
0.032739456045465465,0.009557329584135438,0.002155926115178265,0.002092391165457258,0.00036863593724717177,0.13408427625901592,0.04474150330464345,0.041254892558669744,0.037044271702909734,0.004434500066293805,0.10813389044010085,0.12250536339689291,0.08730351423420105,0.13749809771847868,0.01809535144248455,0.022273384668864027,0.01347459411116185,0.002261429147184607,0.01031291349676565,0.0006648694745478561,0.03702072369418863,0.03543977479598612,0.0122818392165494,0.010835038979162229,0.0005099270689405515,0.019238433226630103,0.014495098826154337,0.02253605790360229,0.04224796281574142,0.023739629652795826,0.006675847700965298,0.07304897032671459,0.07664408769300282,0.1754896118712589,0.029609337628548088,0.08039159847683397,0.018158139750712995,0.028805389483481963,0.05895077739174945,0.007615681649409048,0
0.18194018513233268,0.07179322870052184,0.07444117337791754,0.03428470410458202,0.0019266759223463298,0.0030067405227327537,0.023336828487990097,0.010994412483927643,0.021255754546858782,0.0013168438173712244,0.05280047441558511,0.0074062960874695105,0.036276132123496424,0.03785552450335267,0.0036259184489725507,0.05209038396820653,0.037739052240499615,0.003742181416379123,0.008808956357586412,0.0006815906148321012,0.053359023945841244,0.014024288514014244,0.017098123872781798,0.014563762396649284,0.0010499221721626912,0.017300639206017876,0.01068484253339863,0.07332995619707817,0.0552612882241308,0.007235177128825793,0.01569831601652194,0.022387378751979922,0.056081626061962236,0.0820646975638856,0.00945199442481579,0.18192243684705933,0.06178939316818534,0.07105051401891437,0.06764358914963167,0.0034859458252433874,0
0.004451022248368464,0.0014919473216991053,0.007953069103059887,0.0028252332655000975,0.0002981528572533498,0.029016590584296065,0.004120412170085547,0.03348113476782377,0.009228942063524273,0.0014206306377222283,0.12834990545809988,0.0037295080455330143,0.06952275124478306,0.05529121348576663,0.004613539072914874,0.0549558883482848,0.0004546696236484571,0.06742886387017835,0.011760320374998995,0.0011423803978541126,0.06040103646549133,0.025490546899924596,0.017228665604323665,0.060323593964810435,0.00453674820268357,0.012373725916706935,0.009763889570487377,0.03545363548531233,0.047887029767953865,0.0062069600391224874,0.015253822872735467,0.006965927620041418,0.03765902837635203,0.02309830070994809,0.0035246904857836065,0.0051888153338423,0.008769241122800961,0.010653943637160795,0.0006074952040498183,0.0008379195521410997,0
0.012614782767401578,0.010288473822552324,0.015079211129663497,0.002990869232228542,0.0003043942107539561,0.00019392678749741155,0.002255050329706687,0.0514409115498759,0.04974231645978325,0.007316344138210114,0.07069783745656744,0.0065221260175120505,0.04238855793285981,0.04062270650791017,0.002916743055032085,0.03324174010077152,0.014236143304351523,0.0397878248567011,0.009074480621242179,0.0010556504817042052,0.01587007788203587,0.0087185957893825,0.009702862688523675,0.001129965082463158,0.00020188218490421218,0.012936038252219562,0.021499354279894023,0.023887588917711644,0.01196966112352596,0.0015353270262260191,0.06029415916968123,0.01609487162710141,0.04193059304299257,0.09792416625914738,0.016087148325147925,0.019731844513086516,0.011267496598490842,0.04684154130465917,0.005121635800919344,0.00021931455294479235,0
0.03732280037962421,0.010457314267246942,0.0259315397754689,0.005890926282462239,0.0005758781956877778,0.17643174694758318,0.004404315277377335,0.11162602609106265,0.06243009082569827,0.004715839910908435,0.27383505520159074,0.07111824192199953,0.22178079592842292,0.10959756020357317,0.005009283957775595,0.23621806125021472,0.07536144477118908,0.12711410580284144,0.09891766921704416,0.006901414772163524,0.0005623577404915148,0.0006682856302289153,0.003540109458641902,7.013001306538369e-06,0.0008044174845547696,0.45848460675402175,0.022808135335863428,0.22352025843302065,0.25572375863546803,0.022034324925620345,0.04377373566328624,0.02207219895254782,0.00567104086015828,0.01300490755805829,0.0012405355577446917,0.08322931959880348,0.023899386674149675,0.027047295255256343,0.039259308712359386,0.002392538600591604,0
0.004853273316848927,3.506606121600475e-05,0.0011956403413647364,0.004088242228368688,0.000451786138842813,0.0890749978443699,0.008194977047831009,0.01656393306907295,0.06470849121005343,0.008962791137522248,0.012939037699473244,0.007528295839199006,0.00982727107435797,0.010786171349021781,0.001156632672794291,0.015533814397078238,0.0032206052875394797,0.004045187683152374,0.001394628936883989,0.0005528506159954687,0.02068338358358146,0.0005708218335343657,0.005826733925341165,0.011358735036201675,0.0017009142288339912,0.09816724228225432,0.028313921541720563,0.002964571619193543,0.1057040253933508,0.014618664680176283,0.05256804328857334,0.028742746543489656,0.028142185717034827,0.09765334059188169,0.01564125816824109,0.005361678597226804,0.0016190157148735507,0.028251055896432908,0.031646862343291234,0.005334706021059274,0
0.0025001589659791046,0.0013342888246130336,0.0018296578169349417,0.0008107540967568164,1.170570430528465e-05,0.074264172092666,0.011381673783094043,0.035333602755261526,0.01695205176957769,0.00952950975280013,0.010154327883764469,0.007549236234908219,0.0032720396090868756,0.005568440915747819,0.007026132720090549,0.007740401016288478,0.011784934045890066,0.0006982184494360617,0.007442993829896362,0.0012181485494107934,0.0012727307606396066,0.002643121063321041,0.0038148971928362585,0.006932905122522169,0.0006229391423112356,0.12210571596282027,0.006440020782058881,0.003172022392542849,0.13021713020441972,0.004184517654879854,0.05246771513827764,0.0016323051621578433,0.01116277787300644,0.03509199035741006,0.005969101830055437,0.00014601549354487098,0.003377210061722327,0.006401386581689723,0.01058069030861454,0.0027760676158261515,0
0.07106050606362291,0.008630568761031077,0.012153433237549673,0.054997004383271916,0.013227749035611563,0.013891499104244753,0.047581866945195395,0.03600568117346577,0.0769322841970837,0.020107810130169067,0.02659681935998376,0.020548613521974554,0.01935551460478324,0.007979388357301387,0.004793195669506568,0.004924290508546092,0.03070863671153576,0.005534755784260506,0.025714656314324458,0.0038923258687793352,0.04671341188434747,0.03283749017819701,0.03112853861858353,0.015048948871329293,0.0007813499956276539,0.006142322868332578,0.01342309176342786,0.0049097708573211385,0.012437323501141573,0.011013724517814641,0.04922693268980363,0.03645605135445369,0.005663969410624428,0.06442143987773102,0.02041606178542195,0.010477088644663846,0.040182377019384555,0.0007298732413633657,0.04138974244000149,0.007414024042168593,0
0.0490525889433725,0.007067626995427775,0.017734762951530925,0.039660108312912334,0.0024081142993479226,0.06602484946519294,0.003225624745758049,0.023930485103345916,0.042308333453532104,0.001951091759611276,0.07283769717900321,0.0548095731538928,0.13824517227148225,0.006258202849318842,0.00017249306253318882,0.10474126732380473,0.019426372495052913,0.06094339831190651,0.027522933885425427,0.0012247348554567323,0.04880255136895606,0.00023607626534477566,0.0061025991664960255,0.037655011131201704,0.0038688543410307146,0.03709231491758708,0.004561875845018326,0.05775535432333034,0.013024646816704566,0.001355963063382661,0.04001001722797065,0.005193822187678887,0.03764872820160958,5.334885768848441e-05,0.00010459826445377313,0.1324579942117829,0.022008771482001865,0.09057701364295123,0.02655442908873515,0.0015714617253697058,0
