Fp12_delta_psd,Fp12_theta_psd,Fp12_alpha_psd,Fp12_beta_psd,Fp12_gamma_psd,F34_delta_psd,F34_theta_psd,F34_alpha_psd,F34_beta_psd,F34_gamma_psd,C34_delta_psd,C34_theta_psd,C34_alpha_psd,C34_beta_psd,C34_gamma_psd,P34_delta_psd,P34_theta_psd,P34_alpha_psd,P34_beta_psd,P34_gamma_psd,O12_delta_psd,O12_theta_psd,O12_alpha_psd,O12_beta_psd,O12_gamma_psd,F78_delta_psd,F78_theta_psd,F78_alpha_psd,F78_beta_psd,F78_gamma_psd,T34_delta_psd,T34_theta_psd,T34_alpha_psd,T34_beta_psd,T34_gamma_psd,T56_delta_psd,T56_theta_psd,T56_alpha_psd,T56_beta_psd,T56_gamma_psd,Class
0.07348818683530933,0.022226182791274293,0.02696299738770755,0.02376693700661535,0.0016095549229593557,0.0039297161822905435,0.00034296582822804234,0.0002829033421233307,0.00273527465718168,0.0004180725326744378,0.019885651343306998,0.02610500365332158,0.010719404835236174,0.013043505340341904,1.1020860007372214e-05,0.04250080173384707,0.0025091455177867206,0.032050614686550044,0.020522089673592675,0.0004755799812721749,0.02583680703420288,0.09480976761014553,0.06109294557886656,0.07274143282748846,0.00581905871899638,0.0876272119145276,0.02889298454474179,0.008164138712104085,0.07136009889576926,0.007518421429471798,0.05701515573410976,0.021100356326545194,0.0030384687908562025,0.04676618022455342,0.004017456582241308,0.07283805293494183,0.035979319690798345,0.07632424703045199,0.03546326331448936,0.0026392541661746805,0
0.03142755728704605,0.0036623520669354925,0.004260411230504926,0.02388821692607697,0.003476671069926148,0.019786286618031723,0.000441984315968702,0.00027500291060426896,0.014413035719661849,0.0005392254667807759,0.12616005872253433,0.048146331650714386,0.1747946042276358,0.0035540381230003,0.0005297043096129817,0.01655990970982507,0.02995013661211232,0.018796188742099873,0.00951357798204669,0.0006362161621400728,0.09298023151855833,0.016263487484228872,0.020775210554561746,0.07613499899964532,0.004889071715506378,0.06043460562157377,0.03505458504146722,0.09321645687888677,0.0014425818471363455,0.00012554064447996456,0.06711841401786067,0.07370124448341814,0.12967815930092647,0.0061490621979950755,0.0002171335013009374,0.001634188717693108,0.046833488524953115,0.04934277444940757,0.010458563260190429,0.000250515147552542,0
0.03409530456470178,0.0028992690301113677,0.006584478720432017,0.02974457939350024,0.0016724362595605764,0.03895896870060711,0.023197142837610263,0.003848225993821633,0.01640883805724569,0.0011825739188317357,0.09992449829527483,0.019349276339517357,0.11597318863075351,0.012094569535890401,0.0007363538210258401,0.05064814845459503,0.014669485362815121,0.025679877368167292,0.011490034397774143,0.0012661898940944305,0.04373079898580001,0.054889502655621286,0.013697762017760545,0.016378218337333078,0.0011124907162799683,0.1271596836053464,0.018423423306243802,0.09288621535051717,0.018446063559829348,0.0012540638684519234,0.12437613065743308,0.0005513109761680068,0.10380865594901029,0.02565171404325768,0.0011651960942066488,0.09182270339805959,0.009909253312858857,0.06525421511630317,0.019732264573686126,0.0012727141458059041,0
0.037603043000638325,0.004065612760779935,0.006903618157510019,0.026662877770609092,0.001219158326017506,0.064722811386773,0.03033646168144946,0.004995120164744751,0.03157326380193458,0.0013833328452392863,0.12002821577371214,0.03159523578764312,0.14379351027743992,0.01092080865541964,0.0011762779380781012,0.044585902643826336,0.009146131498982857,0.02945419216711967,0.013949208364636742,0.001985649277446232,0.07082685692170049,0.05915349910079401,0.022099571614233954,0.01576522909523273,0.0006979995354424902,0.14582688913544734,0.015215517513691906,0.11352872764209895,0.023882031856445954,0.0010473867747505007,0.1528636181850343,0.004459452530107794,0.13076759765778634,0.03255953938001857,0.002303725219868093,0.08326831784129268,0.002334918385191259,0.06760123273013405,0.023700497859289432,0.00225800162084092,0
0.014102949723948988,0.010786466392627272,0.0022133029918431357,0.019950028523763735,0.0006101748113953795,0.07294368586975175,0.028258782885881295,0.021817535825280274,0.024949918952368047,0.0018115911293169764,0.12754760435920187,0.019380255680219366,0.13676323720831818,0.00920929954516582,0.0012593226452693941,0.014943502912341589,0.019121782139806087,0.017601404999417175,0.00870149912995298,0.0012691617998603958,0.013169590834936629,0.013510399097559161,0.005756587264047125,0.006443108883014775,0.00048486138644101076,0.10684561182389463,0.019031325986125974,0.10236832052204635,0.018076585403700815,0.0010822066479125318,0.12442774656148531,0.01319763536223642,0.10698297232667231,0.02526168206403287,0.0024879760590705425,0.04602679295226969,0.02229152961161482,0.04977993975177203,0.01262437556033412,0.0015076355831846362,0
0.09714702811945197,0.05698671231802238,0.019853958878699486,0.01984570877631208,0.0012119228840360237,0.004152104848451299,0.0069591726467301,0.005636699896563138,0.01268495211721888,0.001182299311470356,0.009524961236371032,0.0016181994906357688,0.008474505060567017,0.01738929413096961,0.0012133325410108968,0.055220768173889156,0.019672181746257594,0.01366570490553029,0.050743663308960824,0.002559271797201568,0.07829421678997517,0.0033482883390589663,0.0711513469291769,0.04494901710786682,0.002989095526852052,0.11556345935888201,0.024779632519218747,0.015253387973710425,0.07923006496699717,0.008333411928614308,0.0030829661497052685,0.011332327720462554,0.03892469222835246,0.0306747922157711,0.0033998763603233237,0.09464988124470475,0.012050126792764043,0.08107004543350271,0.0015318379637713903,0.000122629666333471,0
0.0849172029572699,0.018755902562011123,0.019981240266742736,0.035958656363937316,0.009775225893010577,0.03224227707226823,0.023923547839274445,0.016570216858545372,0.02881920622629766,0.010413021668904236,0.11299569906989443,0.056039018579548794,0.006623642855685168,0.05708308865224307,0.008768196758773432,0.023873630383127786,0.025235241570421743,0.0081254324680088,0.025779864312391848,0.010474712016070073,0.08862639083381718,0.07557251858123133,0.01689735658059295,0.03739712382731472,0.005518724567809143,0.03591021101535313,0.03205155548929389,0.005045889476759921,0.016184084082489336,0.0011812828553021543,0.07296239168191404,0.016505705663260734,0.006320652749363345,0.05870853487214245,0.013291459865316116,0.09375082616616687,0.00827135228172507,0.008712261505314345,0.10413506589512583,0.022637386063581358,0
0.035758519331704375,0.010924527636281989,0.010518127946873169,0.01699339982299395,0.0011733882964607874,0.036124080512023315,0.0025230999305473345,0.015380695513063404,0.023464977015971805,0.001966915141594472,0.03267147734984821,0.021977206557915324,0.0032815029352241537,0.000902400729748426,0.009722277401393423,0.01940519770213578,0.024214108036516357,0.0029133071590324716,0.009052195600388141,0.007296002405804407,0.141770734534707,0.06599006562003842,0.0317289929326838,0.029629019505805293,0.014403259555931688,0.0921033249843572,0.00687513784763194,0.005111047999722423,0.06369320563438258,0.024163379322449774,0.10174689956499144,0.016886351071643643,0.0009890357622472923,0.08042434434594353,0.03877979350559816,0.12102184185469317,0.005155632720462711,0.003186984270009019,0.0931269561734146,0.03519563882940026,0
0.0322716795632626,0.006457377802901149,0.006714408358667628,0.026196659175021536,0.0015799288705365868,0.012385134246712282,0.025744779352612435,0.0011817505742614115,0.022858672970529792,0.005268471154879516,0.03061586494403845,0.009685083543298084,0.009157128030870307,0.0020020749789443626,0.011431882334944618,0.0092025885928948,0.02539931148300248,0.009524756845383606,0.0390852324458813,0.005164331389305624,0.3404295298588086,0.16063772096984158,0.05646560539783174,0.12429102960796269,0.026818298027577805,0.06139786759315208,0.017946445777267978,0.00612355537023522,0.017685250533266805,0.017580600771767617,0.0913352817798257,0.014268660680475095,0.003599194578219042,0.07390091267867255,0.0366306488446166,0.12488777586736988,0.011276029322183412,0.0019379283155994131,0.08070135143937962,0.03711199313952941,0
0.030002551428536917,0.008289275751042935,0.004888485878688856,0.03426729564712909,0.004482254672090999,0.0011626749003068593,0.02222014467792416,0.0017089389920822567,0.023417978401846395,0.0007896971113128537,0.0019056321200370818,0.015245011419274146,0.0026428292768470724,0.017461429285429042,0.0038561116410135154,0.026637359458332344,0.02510223936993647,0.011979584964228365,0.038835201277533926,0.0005377747230740984,0.0015423618551543838,0.05575652941283052,0.006684001818505161,0.041704389052661495,0.0016099362856668922,0.026025531090162368,0.007474842239887425,0.002936969967179931,0.016220766365002415,0.006964946641601327,0.07614340962918639,0.001239628928721273,0.004108489234855114,0.0685151333468727,0.013697566860833385,0.10126810133952241,0.0021971756908924223,0.011654997279954005,0.09791635302657226,0.022028360859000104,0
0.16792723214156502,0.0877219712261691,0.03910041286774088,0.0406745057494384,0.0025880589749228866,0.0020091191410060993,0.015287502080948062,0.01057193350569631,0.01930200908135235,0.0012396363607156025,0.0032703111690560727,0.020077860993948288,0.02991345267158163,0.029249585523446545,0.002158822388628724,0.0465581460399242,0.03607976805582805,0.013544582443101999,0.03789721779654143,0.001782817434887135,0.13722914581832701,0.04336025493612031,0.09239925998653442,0.07584851338984319,0.005631666607045266,0.10076432854478523,0.0021059226643017626,0.011390310970527742,0.10337320855161795,0.011904163381452736,0.03573232853246644,0.04133143943316736,0.025888197158792314,0.0596253129912461,0.005942218100172848,0.13888917691934577,0.011483532943241032,0.1173710158231442,0.005078794218230723,0.0005683415509231274,0
0.017820688050438682,0.006293190536673904,0.0022055962631803913,0.016605538539909388,0.0038854427262044076,0.0567154700873842,0.007748199218222729,0.0022025701652793883,0.0598900860127512,0.013558450481786801,0.10328546234749375,0.009943537895086618,0.012595413710707298,0.08979201459484881,0.018754430893183915,0.3342077325014536,0.08756170454876736,0.10369374618059496,0.23542083709132444,0.03635719139225942,0.009608898978319402,0.02189907391088282,0.0005251774616912563,0.03204415648608838,0.00410335345051846,0.187603995195963,0.09907399562447458,0.05471137353945706,0.0623885810667279,0.0010294073723197128,0.46216640614573956,0.08080427306556251,0.09383572082306456,0.2815309272926677,0.043622249559766374,0.009850254891223265,0.0037444810606738765,0.0031527433003816843,0.015348256562173295,0.0033990843380387295,0
0.00496655553886205,0.016148183568923613,0.004276821493352206,0.013805304538316864,0.0027755725084866486,0.03943001061301621,0.02166203560883262,0.020760190398367795,0.035989747850132814,0.006217753117200336,0.05597237579034703,0.0004776765115389603,0.020818948428137488,0.03858188878979929,0.007020684475404441,0.29269245805896565,0.04190641486480415,0.11614693997670839,0.18269980124416907,0.020604716608978172,0.015368700294449922,0.016675316082196093,0.01390213396543194,0.01645357701110417,0.005572794195820151,0.2467121682625263,0.06230599315074979,0.011816963191547625,0.18634856423968388,0.02001817513982978,0.23530335387268897,0.0037901801277824554,0.0788369627750915,0.183565776241337,0.018182523127017267,0.1756591201347708,0.014737499083919303,0.08516792768299797,0.13335738567914054,0.01609164455560759,0
0.020747514592897476,0.00965864141747988,0.00029066436851726135,0.01120363499842324,0.0006965231589879167,0.020785394856989492,0.020908949067722615,0.010740907915525996,0.024701606858422098,0.003611138937203856,0.06622248521095175,0.03116408122936512,0.04557676283045917,0.08607963919580257,0.010483446931860672,0.0007045714513046475,0.004177291230100619,0.010498745791574046,0.026254794355413447,0.002722416801514846,0.14083601415885372,0.0001915053079477036,0.045024419943217694,0.13447707298524042,0.022278989610971512,0.1375893366329649,0.04925396937070181,0.020925458798899094,0.10309861152620861,0.01497946645441024,0.12103557345672916,0.007011418663026958,0.05863640475794709,0.08587129829527107,0.00849563661999333,0.004745161289310351,0.0341658897058038,0.003453163560834943,0.0023019316603036938,0.0014031609945378727,0
0.009903118558145518,0.029360844488262164,0.004247566771762943,0.014665165351064866,0.0017911525932833186,0.06280263404758912,0.01411021712202623,0.008242250982562205,0.07584733774407373,0.009269665358630039,0.1451538156268164,0.015962116647050703,0.021796708124733055,0.10757644537395825,0.01627346030345411,0.2861215128136883,0.012197142745963688,0.03503848079774073,0.2156294804961334,0.03380887185310801,0.1778122337404514,0.020823674964640465,0.024731892826223505,0.170985472571682,0.03111859890557161,0.07304426013066645,0.02610641753714242,0.02937644994730506,0.07679517809865999,0.008864082168989082,0.4420396192684224,0.04275333602483192,0.07559188660205773,0.40832751920043747,0.0690275977580367,0.32412356766114037,0.026977592399212186,0.039738983155378375,0.2558947199932807,0.047830054354549095,0
0.14983618103230623,0.09434998953452524,0.03665404430515169,0.03825904695646174,0.003415743758335421,0.051243061673110435,0.0006847060408935457,0.019028981220503657,0.036691517225258194,0.004036986458062623,0.04110267328852879,0.008459088231605544,0.0004815959338337894,0.04102274893196314,0.0030102699206633375,0.09077245583458732,0.022301774497025,0.017361344780590093,0.05292414107774816,0.003430965218014336,0.03744030833848988,0.048454559885098225,0.002286613492011067,0.019052540637731364,0.0009562729847168753,0.14965207078666554,0.01543600539973719,0.011769913756385753,0.14616609227449104,0.01711827567752603,0.040378409632558454,0.019604376698554804,0.01614156137418754,0.07262474586855347,0.009600138863598926,0.030015582548435837,0.007755883178218154,0.04086821017098466,0.014649626825914377,0.0008520390380914464,0
0.03945431327308002,0.013035415076594753,0.017783396736985257,0.0126777555079002,0.001065652130641595,0.06021615914038414,0.005584969892927422,0.035232427234247105,0.01971781377784887,0.002692953214412406,0.05339843813672235,0.0011925106725463042,0.032654747350833985,0.01892033875204069,0.0024556323136238623,0.035321485798877617,0.009203363050927144,0.024320742322707117,0.004057635256469794,0.0010918867481232667,0.02677561991102717,0.024992765716688486,0.030282486186783586,0.026262656556805875,0.0022004108152068984,0.08475310707830913,0.02324319483843444,0.014201774066278594,0.06763458761586819,0.0014754891845101849,0.0854468936395949,0.02221636264636065,0.065095678643107,0.00029145148150988565,0.001890243685737222,0.06322431733000344,0.016386809475405856,0.04840066665351658,0.0030660033500523876,0.00025169042799496645,0
0.13583102894915255,0.09353933686589194,0.04317573743782163,0.050087657591831876,0.004138173586744202,0.23594196724728145,0.08864557678531979,0.08580106725268835,0.09875019742029334,0.007745477493146069,0.26105911123315995,0.0680762380573121,0.11022746781252642,0.1053322775670101,0.009207517637309348,0.2794256184129804,0.06414848718616886,0.12289418534933669,0.11641106424579327,0.009949312590229563,0.4184110113645284,0.04890174044061739,0.18488108205213638,0.20511801150986356,0.01987996051542412,0.2600182529554481,0.055246758004551276,0.06790510450055569,0.16745475633917992,0.013347996568871106,0.26617994434317693,0.05950155274533423,0.09814533296992718,0.1402205435960036,0.012659964315548299,0.24278197637948262,0.060762975301898475,0.09902993373057481,0.1084980515855891,0.011307162158867887,0
0.034185461959410524,0.016188544805175648,0.019958485141685113,0.03200670399658329,0.0016855321861037904,0.10929298749198602,0.0035295044837120038,0.03788950180723433,0.06465300747654293,0.0031517946341723703,0.06727817775507994,0.00848048781983557,0.026479450581730735,0.046419765782572425,0.002208825079213954,0.04009496376730509,0.009802999436363119,0.013739614493754132,0.03721898007950891,0.0016112892613971714,0.028309567246952716,0.015177454131972856,0.011175389599417385,0.00034352477032195683,0.0023149251075329953,0.018341173020789137,0.0003272257782470922,0.01051665373769739,0.0029505780311875895,0.004293884288694809,0.07795347251696544,0.009290391419289917,0.06409213926297902,0.009175835268295934,0.0011779873744423783,0.07041576270352146,0.01072431378855368,0.039232448309662715,0.021315106525166494,0.0007955724745744418,0
0.04065872339426935,0.0371799584889584,0.023505933208105394,0.05308810752118974,0.0037315077133050233,0.08950078844227405,0.020449298354028617,0.04526882108819527,0.0888526709180906,0.005897180577949627,0.1168443512420082,0.014905878145124826,0.06627786463602876,0.10001668490467533,0.0069598201649367095,0.1440245910787774,0.019812420946517417,0.08420480017741869,0.1090211837480172,0.007335763527248966,0.27598404519319736,0.03770321747262158,0.10811673271557552,0.19104203750898624,0.013664710726276851,0.12032186655670496,0.0074749214805656106,0.04031600248962859,0.14028552437834005,0.014512732567920923,0.15131072469612705,0.013579085519466683,0.05537060167679732,0.13289007410624182,0.014174466593554888,0.077749810839437,0.011432813356869825,0.04690805834428191,0.07930639727593287,0.007123054329793426,0
